NU_ANO_CENSO|CO_ENTIDADE|NO_ENTIDADE|CO_ORGAO_REGIONAL|TP_SITUACAO_FUNCIONAMENTO|DT_ANO_LETIVO_INICIO|DT_ANO_LETIVO_TERMINO|CO_REGIAO|CO_MESORREGIAO|CO_MICRORREGIAO|CO_UF|CO_MUNICIPIO|CO_DISTRITO|TP_DEPENDENCIA|TP_LOCALIZACAO|TP_CATEGORIA_ESCOLA_PRIVADA|IN_CONVENIADA_PP|TP_CONVENIO_PODER_PUBLICO|IN_MANT_ESCOLA_PRIVADA_EMP|IN_MANT_ESCOLA_PRIVADA_ONG|IN_MANT_ESCOLA_PRIVADA_SIND|IN_MANT_ESCOLA_PRIVADA_SIST_S|IN_MANT_ESCOLA_PRIVADA_S_FINS|CO_ESCOLA_SEDE_VINCULADA|CO_IES_OFERTANTE|TP_REGULAMENTACAO|IN_LOCAL_FUNC_PREDIO_ESCOLAR|TP_OCUPACAO_PREDIO_ESCOLAR|IN_LOCAL_FUNC_SALAS_EMPRESA|IN_LOCAL_FUNC_SOCIOEDUCATIVO|IN_LOCAL_FUNC_UNID_PRISIONAL|IN_LOCAL_FUNC_PRISIONAL_SOCIO|IN_LOCAL_FUNC_TEMPLO_IGREJA|IN_LOCAL_FUNC_CASA_PROFESSOR|IN_LOCAL_FUNC_GALPAO|TP_OCUPACAO_GALPAO|IN_LOCAL_FUNC_SALAS_OUTRA_ESC|IN_LOCAL_FUNC_OUTROS|IN_PREDIO_COMPARTILHADO|IN_AGUA_FILTRADA|IN_AGUA_REDE_PUBLICA|IN_AGUA_POCO_ARTESIANO|IN_AGUA_CACIMBA|IN_AGUA_FONTE_RIO|IN_AGUA_INEXISTENTE|IN_ENERGIA_REDE_PUBLICA|IN_ENERGIA_GERADOR|IN_ENERGIA_OUTROS|IN_ENERGIA_INEXISTENTE|IN_ESGOTO_REDE_PUBLICA|IN_ESGOTO_FOSSA|IN_ESGOTO_INEXISTENTE|IN_LIXO_COLETA_PERIODICA|IN_LIXO_QUEIMA|IN_LIXO_JOGA_OUTRA_AREA|IN_LIXO_RECICLA|IN_LIXO_ENTERRA|IN_LIXO_OUTROS|IN_SALA_DIRETORIA|IN_SALA_PROFESSOR|IN_LABORATORIO_INFORMATICA|IN_LABORATORIO_CIENCIAS|IN_SALA_ATENDIMENTO_ESPECIAL|IN_QUADRA_ESPORTES_COBERTA|IN_QUADRA_ESPORTES_DESCOBERTA|IN_QUADRA_ESPORTES|IN_COZINHA|IN_BIBLIOTECA|IN_SALA_LEITURA|IN_BIBLIOTECA_SALA_LEITURA|IN_PARQUE_INFANTIL|IN_BERCARIO|IN_BANHEIRO_FORA_PREDIO|IN_BANHEIRO_DENTRO_PREDIO|IN_BANHEIRO_EI|IN_BANHEIRO_PNE|IN_DEPENDENCIAS_PNE|IN_SECRETARIA|IN_BANHEIRO_CHUVEIRO|IN_REFEITORIO|IN_DESPENSA|IN_ALMOXARIFADO|IN_AUDITORIO|IN_PATIO_COBERTO|IN_PATIO_DESCOBERTO|IN_ALOJAM_ALUNO|IN_ALOJAM_PROFESSOR|IN_AREA_VERDE|IN_LAVANDERIA|IN_DEPENDENCIAS_OUTRAS|NU_SALAS_EXISTENTES|NU_SALAS_UTILIZADAS|IN_EQUIP_TV|IN_EQUIP_VIDEOCASSETE|IN_EQUIP_DVD|IN_EQUIP_PARABOLICA|IN_EQUIP_COPIADORA|IN_EQUIP_RETROPROJETOR|IN_EQUIP_IMPRESSORA|IN_EQUIP_IMPRESSORA_MULT|IN_EQUIP_SOM|IN_EQUIP_MULTIMIDIA|IN_EQUIP_FAX|IN_EQUIP_FOTO|IN_COMPUTADOR|NU_EQUIP_TV|NU_EQUIP_VIDEOCASSETE|NU_EQUIP_DVD|NU_EQUIP_PARABOLICA|NU_EQUIP_COPIADORA|NU_EQUIP_RETROPROJETOR|NU_EQUIP_IMPRESSORA|NU_EQUIP_IMPRESSORA_MULT|NU_EQUIP_SOM|NU_EQUIP_MULTIMIDIA|NU_EQUIP_FAX|NU_EQUIP_FOTO|NU_COMPUTADOR|NU_COMP_ADMINISTRATIVO|NU_COMP_ALUNO|IN_INTERNET|IN_BANDA_LARGA|NU_FUNCIONARIOS|IN_ALIMENTACAO|TP_AEE|TP_ATIVIDADE_COMPLEMENTAR|IN_FUNDAMENTAL_CICLOS|TP_LOCALIZACAO_DIFERENCIADA|IN_MATERIAL_ESP_QUILOMBOLA|IN_MATERIAL_ESP_INDIGENA|IN_MATERIAL_ESP_NAO_UTILIZA|IN_EDUCACAO_INDIGENA|TP_INDIGENA_LINGUA|CO_LINGUA_INDIGENA|IN_BRASIL_ALFABETIZADO|IN_FINAL_SEMANA|IN_FORMACAO_ALTERNANCIA|IN_MEDIACAO_PRESENCIAL|IN_MEDIACAO_SEMIPRESENCIAL|IN_MEDIACAO_EAD|IN_ESPECIAL_EXCLUSIVA|IN_REGULAR|IN_EJA|IN_PROFISSIONALIZANTE|IN_COMUM_CRECHE|IN_COMUM_PRE|IN_COMUM_FUND_AI|IN_COMUM_FUND_AF|IN_COMUM_MEDIO_MEDIO|IN_COMUM_MEDIO_INTEGRADO|IN_COMUM_MEDIO_NORMAL|IN_ESP_EXCLUSIVA_CRECHE|IN_ESP_EXCLUSIVA_PRE|IN_ESP_EXCLUSIVA_FUND_AI|IN_ESP_EXCLUSIVA_FUND_AF|IN_ESP_EXCLUSIVA_MEDIO_MEDIO|IN_ESP_EXCLUSIVA_MEDIO_INTEGR|IN_ESP_EXCLUSIVA_MEDIO_NORMAL|IN_COMUM_EJA_FUND|IN_COMUM_EJA_MEDIO|IN_COMUM_EJA_PROF|IN_ESP_EXCLUSIVA_EJA_FUND|IN_ESP_EXCLUSIVA_EJA_MEDIO|IN_ESP_EXCLUSIVA_EJA_PROF|IN_COMUM_PROF|IN_ESP_EXCLUSIVA_PROF
2017|35021738|ODILON CORREA PROFESSOR|20408|1|01/02/2017|21/12/2017|3|3506|35026|35|3543907|354390705|2|1|||||||||||1|1|1|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|0|0|1|0|1|1|0|1|1|0|0|0|1|0|1|1|1|0|0|1|0|0|1|1|0|0|0|0|0|10|10|1|0|1|1|0|1|1|1|1|1|1|1|1|4|0|1|1|0|1|1|4|2|2|1|2|18|10|8|1|1|58|1|0|0|1|0|0|0|1|0|||0|0|0|1|0|0|0|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
2017|35159037|RIO CLARO COMPLEXO EDUCACIONAL|20408|1|01/02/2017|29/12/2017|3|3506|35026|35|3543907|354390705|4|1|1|0||1|0|0|0|0|||1|1|1|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|1|0|1|0|1|1|1|1|1|1|1|0|1|1|1|0|1|1|0|1|1|0|1|0|0|0|0|0|0|24|24|1|0|0|1|1|1|1|0|1|0|0|1|1|3|0|0|1|3|6|7|0|6|0|0|3|39|6|33|1|1|64|0|0|0|1|0|0|0|1|0|||0|0|0|1|0|0|0|1|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2017|35236421|JOSE DE CAMPOS CHAGAS PROF DR ESCOLA MUNICIPAL|20408|1|06/02/2017|18/12/2017|3|3506|35026|35|3543907|354390705|3|1|||||||||||1|1|2|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|1|1|0|0|1|0|0|1|0|1|0|0|0|1|0|0|0|0|1|0|3|3|1|0|1|0|0|0|1|1|0|1|0|1|1|3|0|1|0|0|0|2|1|0|1|0|3|3|3|0|1|1|19|1|0|0||0|0|0|1|0|||0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2017|35263084|MICROCAMP ESCOLA DE EDUCACAO PROFISSIONAL|20408|2|||3|3506|35026|35|3543907|354390705|4|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2017|35435485|JANUARIO SYLVIO PEZZOTTI PROFESSOR|20408|1|01/02/2017|21/12/2017|3|3506|35026|35|3543907|354390705|2|1|||||||||||1|1|1|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|1|0|1|0|1|1|0|1|1|0|0|0|0|0|1|0|1|1|1|0|1|0|1|1|0|0|0|0|0|12|12|1|0|1|0|0|0|0|1|1|1|0|1|1|3|0|2|0|0|0|0|3|3|1|0|2|2|1|1|1|1|70|1|0|0|1|0|0|0|1|0|||0|0|0|1|0|0|0|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
2017|35114030|PURISSIMO CORACAO DE MARIA COLEGIO|20408|1|26/01/2017|22/12/2017|3|3506|35026|35|3543907|354390705|4|1|1|0||1|1|1|1|1|||1|1|1|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|1|1|1|1|0|1|0|1|1|1|1|1|1|0|0|0|1|1|0|1|0|0|0|0|1|1|1|0|0|0|1|0|46|46|1|1|1|0|1|1|1|1|1|1|1|1|1|11|6|9|0|5|2|11|4|10|20|2|7|80|40|40|1|1|164|0|0|0|1|0|0|0|1|0|||0|0|0|1|0|0|0|1|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2017|35004193|COLEGIO DOM BOSCO RIO CLARO|20408|1|30/01/2017|15/12/2017|3|3506|35026|35|3543907|354390705|4|1|1|0||1|0|0|0|0|||1|1|2|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|0|0|0|1|0|1|1|1|0|1|1|0|1|1|1|1|0|1|0|1|1|0|1|0|1|0|0|0|0|0|14|14|1|0|1|0|0|0|0|1|1|1|0|1|1|1|0|1|0|0|0|0|2|4|1|0|1|3|3|0|1|1|33|0|0|0|1|0|0|0|1|0|||0|0|0|1|0|0|0|1|0|0|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2017|35560686|APROVADO CURSO|20408|2|||3|3506|35026|35|3543907|354390705|4|1|||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||
2017|35204985|ISOLINA HUPPERT CASSAVIA ESCOLA MUNICIPAL|20408|1|06/02/2017|20/12/2017|3|3506|35026|35|3543907|354390705|3|1|||||||||||1|1|1|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|1|1|0|0|0|0|0|0|1|0|0|0|1|1|1|1|0|0|0|1|0|1|1|1|0|0|1|0|0|0|1|0|10|10|1|0|1|0|1|0|1|1|0|1|0|1|1|3|0|2|0|1|0|1|3|0|1|0|2|5|5|0|1|1|51|1|0|1||0|0|0|1|0|||0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2017|35307609|FAZENDO ARTE CENTRO DE EDUCACAO INFANTIL|20408|1|23/01/2017|11/12/2017|3|3506|35026|35|3543907|354390705|4|1|1|0||1|1|1|1|1|||1|1|1|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|1|0|0|0|0|0|0|0|1|1|0|1|1|1|0|1|1|0|0|1|1|1|1|0|0|1|1|0|0|1|1|0|6|6|1|0|1|0|0|0|0|1|1|1|0|1|1|2|0|1|0|0|0|0|2|10|1|0|1|4|2|2|1|1|35|0|0|0||0|0|0|1|0|||0|0|0|1|0|0|0|1|0|0|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2017|35299662|CELESTE CALIL ESCOLA MUNICIPAL|20408|1|06/02/2017|20/12/2017|3|3506|35026|35|3543907|354390705|3|1|||||||||||1|1|1|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|1|0|0|1|1|1|0|1|0|1|1|1|0|0|0|0|0|0|0|0|1|0|1|1|1|0|1|0|1|1|0|0|0|0|0|13|13|1|0|1|0|1|1|1|1|1|1|0|1|1|4|0|3|0|1|1|2|4|6|1|0|3|23|5|18|1|1|55|1|1|1|1|0|0|0|1|0|||0|0|0|1|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2017|35049967|DELCIO BACCARO PROFESSOR|20408|1|01/02/2017|21/12/2017|3|3506|35026|35|3543907|354390705|2|1|||||||||||1|1|1|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|0|0|0|1|1|1|0|1|1|0|0|0|0|0|0|0|1|0|0|1|0|0|1|0|0|0|1|0|0|9|9|1|0|0|0|0|1|0|1|1|1|0|1|1|1|0|0|0|0|1|0|3|1|1|0|1|15|6|8|1|1|50|1|0|0|1|0|0|0|1|0|||0|0|0|1|0|0|0|1|1|0|0|0|0|1|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
2017|35021611|JOAQUIM RIBEIRO|20408|1|01/02/2017|21/12/2017|3|3506|35026|35|3543907|354390705|2|1|||||||||||1|1|1|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|0|1|1|1|1|1|0|1|1|0|0|0|0|0|0|0|1|1|0|1|1|0|1|1|0|0|0|0|0|15|15|1|1|1|1|0|1|1|1|1|1|0|1|1|3|1|1|1|0|2|8|4|2|4|0|1|23|8|13|1|1|43|1|0|0|0|0|0|0|1|0|||0|0|0|1|0|0|0|1|1|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0
2017|35459719|CEL JTO A EE JOAQUIM RIBEIRO|20408|1|01/02/2017|21/12/2017|3|3506|35026|35|3543907|354390705|2|1|||||||||||1|1|1|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|4|4|0|0|0|0|0|0|1|0|1|1|0|0|0|0|0|0|0|0|0|1|0|1|2|0|0|0|0|0|0|0|4|0|0|2||0|0|0|1|0|||0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
2017|35114078|KOELLE COLEGIO|20408|1|13/01/2017|13/12/2017|3|3506|35026|35|3543907|354390705|4|1|1|0||1|1|1|1|1|||1|1|1|0|0|0|0|0|0|0||0|0|0|1|1|0|0|0|0|1|0|0|0|1|0|0|1|0|0|0|0|0|1|1|1|1|0|0|1|1|1|1|1|1|1|0|0|0|1|0|0|1|1|1|1|1|1|1|1|0|0|0|1|0|47|47|1|1|1|0|1|1|1|1|1|1|1|1|1|12|10|4|0|10|10|10|10|8|20|1|2|90|35|65|1|1|170|0|0|0|1|0|0|0|1|0|||0|0|0|1|0|0|0|1|0|0|1|1|1|1|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0
